timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535252459162754,0,-3,-4,1,-3,0,-1,-2
1535252459162754,2,-3,-8,-2,1,0,-1,1
1535252459171738,-1,-1,-7,-2,-2,-3,-1,-1
1535252459171738,0,3,6,1,-2,-1,-2,-1
1535252459193803,-1,1,-4,1,2,1,1,-1
1535252459193803,-1,1,0,1,2,0,1,0
1535252459195801,1,-2,-10,0,-1,1,1,0
1535252459195801,-3,-6,17,-3,-4,-3,-1,-3
1535252459208836,0,2,-11,-1,1,-1,0,-4
1535252459208836,-2,-4,-7,-1,0,2,1,-1
1535252459210865,0,-1,-3,-1,0,0,-1,0
1535252459210865,1,3,-8,2,-2,0,-1,0
1535252459222873,-1,0,19,1,-1,0,-1,-1
1535252459222873,1,1,0,1,-1,-1,-2,-1
1535252459230894,-2,-4,10,1,-2,-1,1,0
1535252459230894,1,1,-9,-2,2,1,1,2
1535252459245935,-1,1,-1,-2,0,1,-1,0
1535252459245935,1,-1,-7,1,-1,-1,0,-1
1535252459247940,-1,-1,-20,-6,-3,-1,-2,-1
1535252459247940,-1,0,3,0,-1,0,-1,0
1535252459268996,1,0,-4,-4,-3,-3,0,0
1535252459268996,-1,1,7,2,0,-2,-1,-1
1535252459270006,-1,1,11,2,1,0,0,0
1535252459270006,-2,-2,-1,-3,-2,-1,0,-1
1535252459282032,-1,2,2,1,-1,0,0,1
1535252459282032,0,0,-4,-2,0,0,1,0
1535252459291175,0,-3,-13,0,1,-1,0,0
1535252459291175,0,0,-5,-3,-4,-4,-2,-2
1535252459306095,-1,-1,-3,1,1,1,-2,0
1535252459306095,-1,2,2,-2,-2,0,1,0
1535252459308305,1,-1,5,0,0,0,1,1
1535252459308305,-2,-3,-5,-3,0,-2,-1,0
1535252459329156,-1,-2,-5,-4,-5,-4,-2,-2
1535252459329156,0,-3,3,-3,-3,-1,-2,0
1535252459330158,0,1,-2,2,1,1,1,0
1535252459330158,0,-1,-3,0,-1,1,0,0
1535252459343193,-1,-2,6,0,1,0,-2,-1
1535252459343193,0,2,3,4,3,0,2,0
1535252459351215,-2,-3,-16,-8,-4,-4,-3,-2
1535252459351215,-1,-3,-10,-6,-3,-1,0,-1
1535252459366256,-1,-2,3,2,2,0,0,0
1535252459366256,0,-3,18,2,3,2,-1,0
1535252459368261,1,-1,-2,2,2,2,0,0
1535252459368261,-1,0,-6,1,2,-1,0,-1
1535252459389317,-1,-3,11,-1,-4,-4,0,-1
1535252459389317,0,-2,1,0,-2,-3,-2,-1
1535252459390319,-1,1,-4,-1,-2,-2,0,1
1535252459390319,-1,-1,-1,0,1,1,0,-1
1535252459402383,-2,-1,-6,-4,-1,1,-1,1
1535252459402383,-2,1,5,1,-2,-3,-1,-3
1535252459411633,0,0,-8,-4,-2,-1,-2,1
1535252459411633,0,-2,6,-1,-2,1,1,-2
1535252459426414,-1,-3,-4,1,2,-1,1,1
1535252459426414,-1,0,1,3,2,4,2,0
1535252459427417,0,-3,5,2,1,2,-1,-1
1535252459427417,1,0,3,-1,-2,-3,-1,-1
1535252459448501,0,-1,-3,1,1,2,-2,-1
1535252459448501,-1,0,2,-1,-1,-2,-1,-1
1535252459450481,-2,1,3,-1,-2,-3,-1,-1
1535252459450481,1,1,5,1,0,-1,-2,1
1535252459471537,-1,0,-10,-2,-3,-3,0,0
1535252459471537,-1,-1,1,0,1,-3,1,-1
1535252459473560,-1,0,2,3,3,2,0,-1
1535252459473560,-1,-1,2,2,0,2,1,-1
1535252459485601,-1,0,-4,-5,0,-3,-1,1
1535252459485601,-1,-1,-3,-5,-6,-2,2,1
1535252459492591,-1,1,-1,-2,0,-1,-2,-1
1535252459492591,0,0,1,3,0,4,0,-1
1535252459508634,-1,-1,0,4,8,0,0,-1
1535252459508634,2,0,2,0,-6,3,0,0
1535252459510640,0,0,1,-4,-2,-5,-1,0
1535252459510640,-2,-1,-4,-4,-3,-4,-3,-2
1535252459531697,0,3,-1,0,0,1,-1,-1
1535252459531697,-1,2,-1,-1,-1,0,-1,-1
1535252459532698,-1,2,2,1,2,2,0,0
1535252459532698,-1,2,-1,-3,-3,1,0,-1
1535252459545735,-1,3,-3,-4,-5,-6,0,0
1535252459545735,-1,-3,0,-1,-2,-2,-3,-1
1535252459552751,0,-2,3,7,8,2,0,-2
1535252459552751,0,-5,2,-1,-3,-3,-2,0
1535252459568795,-1,-4,-1,0,3,2,1,-2
1535252459568795,0,-2,-1,1,-1,0,-1,0
1535252459570844,0,-1,-2,-3,-8,-5,1,-1
1535252459570844,1,1,0,2,3,-4,-3,1
1535252459590853,-1,-2,-3,-2,-4,1,0,0
1535252459590853,-1,1,0,-3,0,-1,-1,0
1535252459592890,0,-3,-2,-1,2,3,1,0
1535252459592890,0,-4,2,2,2,0,1,1
1535252459604889,0,0,0,0,-4,-2,0,0
1535252459604889,0,-3,-1,-2,1,0,-2,-2
1535252459620931,-2,-2,0,-1,-2,-4,-3,-1
1535252459620931,1,2,1,1,3,5,1,0
1535252459628955,-1,-1,0,0,-1,1,-1,0
1535252459628955,0,0,-1,-3,-3,-2,-2,1
1535252459630071,-2,-4,-4,-5,-7,-4,-5,-2
1535252459630071,-1,1,1,4,4,0,-1,0
1535252459651015,-2,-4,0,1,2,3,1,0
1535252459651015,-1,-3,0,0,-1,-1,0,-2
1535252459653020,-1,3,1,1,-1,-1,0,-2
1535252459653020,-2,-2,-3,-5,-1,-2,-1,1
1535252459665055,-2,-2,-1,-1,-5,-4,-1,-2
1535252459665055,-2,1,-2,3,1,0,-3,-1
1535252459674074,-2,-3,1,1,-2,0,0,-1
1535252459674074,-1,1,0,0,0,-1,0,-1
1535252459689136,0,0,-4,-3,1,2,-1,0
1535252459689136,0,0,0,0,2,2,-1,1
1535252459690117,-1,-1,-4,-4,-4,0,-1,0
1535252459690117,0,-1,3,2,0,-1,0,-1
1535252459719195,0,-3,0,-1,-1,-2,-2,0
1535252459719195,0,-4,-8,-4,0,0,-1,-1
1535252459720196,1,1,-1,-2,-3,-1,0,0
1535252459720196,-1,0,1,0,0,1,4,0
1535252459725210,0,3,1,2,-3,0,1,0
1535252459725210,-1,1,-1,-1,4,-1,0,1
1535252459734234,-1,2,-1,-4,-7,-3,-2,-2
1535252459734234,0,0,-2,2,5,0,0,0
1535252459749274,-1,2,1,2,1,1,-1,0
1535252459749274,0,-2,2,2,2,-1,0,2
1535252459750276,-1,-2,-1,-1,-1,3,-3,-1
1535252459750276,-1,-3,0,-4,-8,-6,-4,-2
1535252459771333,1,-1,-1,-1,-1,-4,-2,0
1535252459771333,1,-5,2,1,-4,0,1,0
1535252459773339,0,-1,0,1,2,-1,-2,-1
1535252459773339,0,-2,-2,1,1,4,2,-1
1535252459785371,0,0,0,2,3,-1,-1,-1
1535252459785371,-1,-1,-1,-4,-4,-3,-1,-1
1535252459793750,-2,-4,-1,-3,-5,-5,0,1
1535252459793750,-2,3,1,4,4,-1,-2,-2
1535252459808478,0,3,2,0,4,6,1,-1
1535252459808478,0,-2,-1,-5,-6,-3,-1,-1
1535252459810438,2,3,4,7,7,2,2,2
1535252459810438,-1,2,-1,0,4,1,-1,-1
1535252459831611,-1,-5,1,0,-1,-3,-1,-2
1535252459831611,-1,-2,-5,-4,-7,-2,-1,0
1535252459833238,-1,-5,-4,-4,-6,-3,0,-3
1535252459833238,1,4,1,3,1,0,1,0
1535252459844528,-2,-4,-6,-8,-6,-4,-3,-2
1535252459844528,-4,-3,-4,-1,-2,-4,-1,-1
1535252459853825,-1,4,-1,-2,-1,-2,-1,-2
1535252459853825,-1,1,3,2,-1,0,-1,1
1535252459868591,0,3,1,2,4,6,2,-1
1535252459868591,0,-1,-2,1,5,6,3,0
1535252459870596,-1,-3,-1,1,0,-4,-2,0
1535252459870596,0,-8,1,-1,-10,3,-2,-1
1535252459890650,0,-5,-6,-21,-4,-5,-3,0
1535252459890650,0,2,3,15,7,-2,-1,-2
1535252459897717,-2,-15,1,7,3,5,2,1
